id,title,description,image_link,link,product_type,brand,price,availability,item_group_id,checkout_url,additional_image_link,video,sale_price_effective_date,sale_price,condition,visibility,gender,color,size,pattern,google_product_category,default_product,variant,gtin,quantity_to_sell_on_facebook,custom_label_4,rich_text_description,internal_label,external_variant_id, is_woo_all_products_sync
wc_post_id_2126,"Choose a name for your dress.","فستان جوميه منفوش بيچ",https://i0.wp.com/l.styliiiish.com/wp-content/uploads/2025/12/IMG_8685.jpeg?fit=1080%2C1440&ssl=1,https://l.styliiiish.com/product/choose-a-name-for-your-dress-3/,"MarketPlace Dresses","Styliiiish","3000EGP","in stock",wc_post_id_2126,,"https://l.styliiiish.com/wp-content/uploads/2025/12/IMG_8685.jpeg,https://l.styliiiish.com/wp-content/uploads/2025/12/IMG_8694.jpeg",,,,new,"published",,"Off White","XS",,,,,,"1","https://l.styliiiish.com/fbcollection/","فستان جوميه منفوش بيچ",['no_shipping_class'],2126,
wc_post_id_2125,"فستان جوميه موڤ","فستان موڤ جوميه بحاله ممتازه",https://i0.wp.com/l.styliiiish.com/wp-content/uploads/2025/12/IMG_8704.jpeg?fit=1080%2C1366&ssl=1,https://l.styliiiish.com/product/%d9%81%d8%b3%d8%aa%d8%a7%d9%86-%d8%ac%d9%88%d9%85%d9%8a%d9%87-%d9%85%d9%88%da%a4/,"MarketPlace Dresses","Styliiiish","1200EGP","in stock",wc_post_id_2125,,"https://l.styliiiish.com/wp-content/uploads/2025/12/IMG_8704.jpeg,https://l.styliiiish.com/wp-content/uploads/2025/12/IMG_8703.jpeg",,,,new,"published",,"Navy Blue","XS",,,,,,"1","https://l.styliiiish.com/fbcollection/","فستان موڤ جوميه بحاله ممتازه",['no_shipping_class'],2125,
wc_post_id_2134,"Choose a name for your dress.","Tap here to describe your dress…",https://i0.wp.com/l.styliiiish.com/wp-content/uploads/2025/12/IMG_8711.jpeg?fit=1320%2C1980&ssl=1,https://l.styliiiish.com/product/choose-a-name-for-your-dress-2/,"MarketPlace Dresses","Styliiiish","2500EGP","in stock",wc_post_id_2134,,"https://l.styliiiish.com/wp-content/uploads/2025/12/IMG_8711.jpeg,https://l.styliiiish.com/wp-content/uploads/2025/12/IMG_8710.jpeg",,,,new,"published",,"White","XS",,,,,,"1","https://l.styliiiish.com/fbcollection/","Tap here to describe your dress…",['no_shipping_class'],2134,
wc_post_id_1880,"Dress","Dress",https://i0.wp.com/l.styliiiish.com/wp-content/uploads/2025/11/cropped-IMG_3071.jpeg?fit=625%2C657&ssl=1,https://l.styliiiish.com/product/dress/,"MarketPlace Dresses","Styliiiish","5000EGP","in stock",wc_post_id_1880,,"https://l.styliiiish.com/wp-content/uploads/2025/11/IMG_3069.jpeg,https://l.styliiiish.com/wp-content/uploads/2025/11/IMG_3072.jpeg",,"/","4500EGP",new,"hidden",,,,,,,,,,"https://l.styliiiish.com/fbcollection/","<blockquote>&nbsp;</blockquote>",['no_shipping_class'],1880,
wc_post_id_1818,"فستان سواريه","فستان سواريه ينفع اخت العروسة واخت العريس والبيست فريند 
 
يلبس لحد ١٠٠ كيلو مرتاح جدا وطول لحد ١٧٠ 
 
واسع بيغطي أي ديفوهات 
 
شيفون دوبل كلوش متبطن بالكامل وفي شغل على منطقة الصدر شيك وراقي جدا بالإضافة لإكستنشن شيفون على الذراع 
 
هايل ويديكي إطلالة مميزة في مناسبتك وسعر بيع زي الايجار بالظبط ..",https://i0.wp.com/l.styliiiish.com/wp-content/uploads/2025/11/IMG-20250928-WA0005.jpg?fit=960%2C1280&ssl=1,https://l.styliiiish.com/product/%d9%81%d8%b3%d8%aa%d8%a7%d9%86-%d8%b3%d9%88%d8%a7%d8%b1%d9%8a%d9%87/,"MarketPlace Dresses","Styliiiish","1200EGP","in stock",wc_post_id_1818,,,,"/","1000EGP",new,"published",,,,,,,,,,"https://l.styliiiish.com/fbcollection/","فستان سواريه ينفع اخت العروسة واخت العريس والبيست فريند

يلبس لحد ١٠٠ كيلو مرتاح جدا وطول لحد ١٧٠

واسع بيغطي أي ديفوهات

شيفون دوبل كلوش متبطن بالكامل وفي شغل على منطقة الصدر شيك وراقي جدا بالإضافة لإكستنشن شيفون على الذراع

هايل ويديكي إطلالة مميزة في مناسبتك وسعر بيع زي الايجار بالظبط ..",['no_shipping_class'],1818,
wc_post_id_1782,"Wedding Dress","Wedding dress, worn for only two hours on the wedding day. 
 
Includes a 3-meter veil. 
 
Fits up to 65 kg.",https://i0.wp.com/l.styliiiish.com/wp-content/uploads/2025/11/inbound566541717253725624.png?fit=1080%2C1323&ssl=1,https://l.styliiiish.com/product/wedding-dress/,"MarketPlace Dresses","Styliiiish","4000EGP","in stock",wc_post_id_1782,,,,,,new,"published",,,,,,,,,,"https://l.styliiiish.com/fbcollection/","<blockquote>Wedding dress, worn for only two hours on the wedding day.

Includes a 3-meter veil.

Fits up to 65 kg.</blockquote>",['no_shipping_class'],1782,
STY-2786_2868,"Burgundy Chiffon Evening Gown with Beaded Details","Elevate your formal wardrobe with our Burgundy Chiffon Evening Gown. This dress combines classic simplicity with dazzling details, featuring a high round neckline adorned with intricate crystal beadwork that eliminates the need for a necklace. Matching embellished bands at the waist and cuffs add a cohesive touch of sparkle. The skirt flows gently in an A-line cut, offering a comfortable and modest fit perfect for weddings, galas, and special occasions.",https://i0.wp.com/l.styliiiish.com/wp-content/uploads/2025/12/16801.jpg?fit=1727%2C2367&ssl=1,https://l.styliiiish.com/product/burgundy-chiffon-evening-gown-with-beaded-details/?attribute_pa_size=3xl,"Dress","Styliiiish","4500EGP","in stock",STY-2786_2786,,"https://l.styliiiish.com/wp-content/uploads/2025/12/16803-scaled.jpg,https://l.styliiiish.com/wp-content/uploads/2025/12/16802-scaled.jpg,https://l.styliiiish.com/wp-content/uploads/2025/12/16803-scaled.jpg,https://l.styliiiish.com/wp-content/uploads/2025/12/16802-scaled.jpg",,,,new,"published",,"Burgundy","3XL",,,,,,,"https://l.styliiiish.com/fbcollection/","Elevate your formal wardrobe with our Burgundy Chiffon Evening Gown. This dress combines classic simplicity with dazzling details, featuring a high round neckline adorned with intricate crystal beadwork that eliminates the need for a necklace. Matching embellished bands at the waist and cuffs add a cohesive touch of sparkle. The skirt flows gently in an A-line cut, offering a comfortable and modest fit perfect for weddings, galas, and special occasions.",['no_shipping_class'],2868,
STY-2786_2867,"Burgundy Chiffon Evening Gown with Beaded Details","Elevate your formal wardrobe with our Burgundy Chiffon Evening Gown. This dress combines classic simplicity with dazzling details, featuring a high round neckline adorned with intricate crystal beadwork that eliminates the need for a necklace. Matching embellished bands at the waist and cuffs add a cohesive touch of sparkle. The skirt flows gently in an A-line cut, offering a comfortable and modest fit perfect for weddings, galas, and special occasions.",https://i0.wp.com/l.styliiiish.com/wp-content/uploads/2025/12/16801.jpg?fit=1727%2C2367&ssl=1,https://l.styliiiish.com/product/burgundy-chiffon-evening-gown-with-beaded-details/?attribute_pa_size=xxl,"Dress","Styliiiish","4500EGP","in stock",STY-2786_2786,,"https://l.styliiiish.com/wp-content/uploads/2025/12/16803-scaled.jpg,https://l.styliiiish.com/wp-content/uploads/2025/12/16802-scaled.jpg,https://l.styliiiish.com/wp-content/uploads/2025/12/16803-scaled.jpg,https://l.styliiiish.com/wp-content/uploads/2025/12/16802-scaled.jpg",,,,new,"published",,"Burgundy","XXL",,,,,,,"https://l.styliiiish.com/fbcollection/","Elevate your formal wardrobe with our Burgundy Chiffon Evening Gown. This dress combines classic simplicity with dazzling details, featuring a high round neckline adorned with intricate crystal beadwork that eliminates the need for a necklace. Matching embellished bands at the waist and cuffs add a cohesive touch of sparkle. The skirt flows gently in an A-line cut, offering a comfortable and modest fit perfect for weddings, galas, and special occasions.",['no_shipping_class'],2867,
STY-2786_2862,"Burgundy Chiffon Evening Gown with Beaded Details","Elevate your formal wardrobe with our Burgundy Chiffon Evening Gown. This dress combines classic simplicity with dazzling details, featuring a high round neckline adorned with intricate crystal beadwork that eliminates the need for a necklace. Matching embellished bands at the waist and cuffs add a cohesive touch of sparkle. The skirt flows gently in an A-line cut, offering a comfortable and modest fit perfect for weddings, galas, and special occasions.",https://i0.wp.com/l.styliiiish.com/wp-content/uploads/2025/12/16801.jpg?fit=1727%2C2367&ssl=1,https://l.styliiiish.com/product/burgundy-chiffon-evening-gown-with-beaded-details/?attribute_pa_size=xs,"Dress","Styliiiish","4500EGP","in stock",STY-2786_2786,,"https://l.styliiiish.com/wp-content/uploads/2025/12/16803-scaled.jpg,https://l.styliiiish.com/wp-content/uploads/2025/12/16802-scaled.jpg,https://l.styliiiish.com/wp-content/uploads/2025/12/16803-scaled.jpg,https://l.styliiiish.com/wp-content/uploads/2025/12/16802-scaled.jpg",,,,new,"published",,"Burgundy","XS",,,,,,,"https://l.styliiiish.com/fbcollection/","Elevate your formal wardrobe with our Burgundy Chiffon Evening Gown. This dress combines classic simplicity with dazzling details, featuring a high round neckline adorned with intricate crystal beadwork that eliminates the need for a necklace. Matching embellished bands at the waist and cuffs add a cohesive touch of sparkle. The skirt flows gently in an A-line cut, offering a comfortable and modest fit perfect for weddings, galas, and special occasions.",['no_shipping_class'],2862,
STY-2786_2863,"Burgundy Chiffon Evening Gown with Beaded Details","Elevate your formal wardrobe with our Burgundy Chiffon Evening Gown. This dress combines classic simplicity with dazzling details, featuring a high round neckline adorned with intricate crystal beadwork that eliminates the need for a necklace. Matching embellished bands at the waist and cuffs add a cohesive touch of sparkle. The skirt flows gently in an A-line cut, offering a comfortable and modest fit perfect for weddings, galas, and special occasions.",https://i0.wp.com/l.styliiiish.com/wp-content/uploads/2025/12/16801.jpg?fit=1727%2C2367&ssl=1,https://l.styliiiish.com/product/burgundy-chiffon-evening-gown-with-beaded-details/?attribute_pa_size=s,"Dress","Styliiiish","4500EGP","in stock",STY-2786_2786,,"https://l.styliiiish.com/wp-content/uploads/2025/12/16803-scaled.jpg,https://l.styliiiish.com/wp-content/uploads/2025/12/16802-scaled.jpg,https://l.styliiiish.com/wp-content/uploads/2025/12/16803-scaled.jpg,https://l.styliiiish.com/wp-content/uploads/2025/12/16802-scaled.jpg",,,,new,"published",,"Burgundy","S",,,,,,,"https://l.styliiiish.com/fbcollection/","Elevate your formal wardrobe with our Burgundy Chiffon Evening Gown. This dress combines classic simplicity with dazzling details, featuring a high round neckline adorned with intricate crystal beadwork that eliminates the need for a necklace. Matching embellished bands at the waist and cuffs add a cohesive touch of sparkle. The skirt flows gently in an A-line cut, offering a comfortable and modest fit perfect for weddings, galas, and special occasions.",['no_shipping_class'],2863,
